,Sub-district,Latitude,Longitude
0,Aegna,59.581319199999996,24.757530810969882
1,Astangu,59.402937,24.6306606
2,Haabersti,59.4313282,24.6290422
3,Hiiu,59.3823446,24.6726476
4,Iru,59.4591879,24.8984111
5,Järve,59.3989562,24.7163287
6,Juhkentali,59.4256988,24.770611
7,Kadaka,59.4127966,24.6774298
8,Kadriorg,59.438465550000004,24.791024909806964
9,Kakumäe,59.4533711,24.5816986
10,Kalamaja,59.4455201,24.734592
11,Karjamaa,59.4520923,24.7125061
12,Kassisaba,59.4320332,24.7297002
13,Katleri,59.4498818,24.850482
14,Keldrimäe,59.4295638,24.766004
15,Kelmiküla,59.4363077,24.7301702
16,Kitseküla,59.4147762,24.7403965
17,Kivimäe,59.3757471,24.6590205
18,Kloostrimetsa,59.4742718,24.864245
19,Kompassi,59.4358096,24.7609196
20,Kopli,59.4568244,24.6775984
21,Kose,59.4580164,24.8649879
22,Kurepõllu,59.4411191,24.8164685
23,Kuristiku,59.4514922,24.8661852
24,Laagna,59.4393124,24.8380828
25,Laagri,59.3560777,24.6221864
26,Laiaküla,59.4706553,24.8992834
27,Lepiku,59.4796358,24.8863229
28,Liiva,59.3887055,24.7245579
29,Lilleküla,59.4198082,24.7110049
30,Loopealse,59.4482853,24.8387963
31,Luite,59.4123127,24.7501902
32,Maakri,59.432275,24.7588744
33,Maarjamäe,59.4561626,24.8293454
34,Mäeküla,59.395504,24.6136097
35,Mähe,59.4908362,24.8610887
36,Männiku,59.3747375,24.7168837
37,Merimetsa,59.4341832,24.6954577
38,Merivälja,59.4937945,24.8364241
39,Mõigu,59.4074827,24.8122167
40,Mustakivi,59.4438214,24.8737626
41,Mustamäe,59.405193,24.6721077
42,Mustjõe,59.4261929,24.6803586
43,Nõmme,59.378524,24.684124
44,õismäe,59.4380189,24.619423
45,Pääsküla,59.3679171,24.6368266
46,Pae,59.4336744,24.8185241
47,Paevälja,59.4495094,24.8246424
48,Paljassaare,59.4618029,24.7009466
49,Pelgulinn,59.4407343,24.7133205
50,Pelguranna,59.4482809,24.6917924
51,Pikaliiva,59.4271291,24.61697
52,Pirita,59.47455455,24.872632356726193
53,Priisle,59.4511717,24.881277
54,Rahumäe,59.3890403,24.7081606
55,Raua,59.4357193,24.7723688
56,Raudalu,59.3659378,24.7573859
57,Rocca al Mare,59.4348618,24.6379742
58,Sääse,59.4096657,24.694934
59,Sadama,59.4414865,24.7672296
60,Seli,59.4442151,24.893329
61,Sibulaküla,59.4306414,24.7545859
62,Siili,59.4070738,24.7057442
63,Sikupilli,59.4288073,24.791727
64,Sitsi,59.4516415,24.6997721
65,Sõjamäe,59.4245821,24.8434934
66,Südalinn,59.4344382,24.753443
67,Tatari,59.4294969,24.7472644
68,Tiskre,59.4391588,24.5701015
69,Tondi,59.4066447,24.7248378
70,Tondiraba,59.4401169,24.8590848
71,Tõnismägi,59.4298097,24.7412962
72,Torupilli,59.4314594,24.776553
73,Ülemiste,59.4218734,24.8096136
74,Lake Ülemiste,59.4218734,24.8096136
75,Uus Maailm,59.4256471,24.7337856
76,Uuslinn,59.436195,24.8034179
77,Väike-õismäe,59.4153634,24.6466996
78,Vana-Mustamäe,59.3907939,24.6527279
79,Vanalinn,59.4373438,24.7452048
80,Väo,59.4385503,24.9102697
81,Veerenni,59.4237172,24.7513169
82,Veskimetsa,59.4195684,24.6616807
83,Vismeistri,59.4384238,24.5976183
